Iteration,Time Stamp (sec),Hot Temperature (Cel),Cold Temperature (Cel)
0,0,30.0,30.0
1,2.0,30.0,29.904397705544934
2,4.0,29.999483230840784,29.809270838716348
3,6.0,29.99845505574822,29.714614465346443
4,8.0,29.99692078228659,29.620423702476078
5,10.0,29.994885662936262,29.526693717823314
6,12.0,29.992354895665382,29.43341972925746
7,14.0,29.98933362449561,29.34059700427858
8,16.0,29.985826940062005,29.248220859502432
9,18.0,29.981839880167087,29.156286660150688
10,20.0,29.977377430329156,29.064789819546515
11,22.0,29.972444524324924,28.97372579861534
12,24.0,29.967046044726494,28.883090105390828
13,26.0,29.961186823432786,28.792878294525973
14,28.0,29.954871642195453,28.703085966809255
15,30.0,29.948105233139312,28.613708768685836
16,32.0,29.940892279277403,28.52474239178373
17,34.0,29.93323741502068,28.43618257244485
18,36.0,29.92514522668243,28.34802509126097
19,38.0,29.91662025297745,28.26026577261449
20,40.0,29.907666985516027,28.172900484223927
21,42.0,29.898289869292825,28.085925136694208
22,44.0,29.88849330317067,27.999335683071525
23,46.0,29.878281640359322,27.913128118402902
24,48.0,29.867659188889288,27.827298479300268
25,50.0,29.8566302120807,27.741842843509108
26,52.0,29.84519892900734,27.656757329481533
27,54.0,29.833369514955848,27.57203809595384
28,56.0,29.82114610188016,27.487681341528404
29,58.0,29.808532778851234,27.403683304259953
30,60.0,29.795533592502093,27.3200402612461
31,62.0,29.78215254746828,27.236748528222144
32,64.0,29.768393606823704,27.153804459160085
33,66.0,29.754260692512013,27.07120444587178
34,68.0,29.739757685773416,26.988944917616223
35,70.0,29.72488842756716,26.907022340710913
36,72.0,29.709656718989557,26.82543321814724
37,74.0,29.694066321687707,26.744174089209874
38,76.0,29.67812095826891,26.6632415291001
39,78.0,29.661824312705836,26.582632148563064
40,80.0,29.6451800307375,26.50234259351887
41,82.0,29.628191720266045,26.42236954469754
42,84.0,29.61086295174946,26.342709717277735
43,86.0,29.593197258590152,26.26335986052923
44,88.0,29.575198137519553,26.184316757459115
45,90.0,29.556869048978687,26.105577224461648
46,92.0,29.538213417494813,26.027138110971748
47,94.0,29.519234632054147,25.94899629912209
48,96.0,29.499936046470726,25.87114870340377
49,98.0,29.480320979751443,25.79359227033044
50,100.0,29.460392716457278,25.716323978106004
51,102.0,29.440154507060786,25.63934083629571
52,104.0,29.419609568299894,25.562639885500666
53,106.0,29.398761083528004,25.48621819703574
54,108.0,29.377612203060476,25.410072872610797
55,110.0,29.356166044517504,25.334201044015263
56,112.0,29.33442569316344,25.258599872805938
57,114.0,29.312394202242587,25.183266549998052
58,116.0,29.290074593311537,25.108198295759557
59,118.0,29.267469856568013,25.033392359108532
60,120.0,29.244582951176337,24.958846017613805
61,122.0,29.22141680558951,24.884556577098614
62,124.0,29.197974317867935,24.810521371347395
63,126.0,29.17425835599485,24.73673776181557
64,128.0,29.150271758188477,24.663203137342364
65,130.0,29.126017333210932,24.58991491386664
66,132.0,29.101497860673938,24.51687053414561
67,134.0,29.076716091341353,24.444067467476522
68,136.0,29.051674747428567,24.371503209421217
69,138.0,29.026376522898794,24.299175281533536
70,140.0,29.000824083756278,24.227081231089585
71,142.0,28.975020068336455,24.155218630820755
72,144.0,28.94896708759313,24.083585078649552
73,146.0,28.922667725382624,24.012178197428153
74,148.0,28.89612453874503,23.94099563467967
75,150.0,28.869340058182516,23.87003506234212
76,152.0,28.842316787934728,23.799294176515016
77,154.0,28.815057206251378,23.72877069720863
78,156.0,28.787563765661957,23.65846236809583
79,158.0,28.75983889324268,23.588366956266498
80,160.0,28.731884990880648,23.5184822519845
81,162.0,28.703704435535265,23.44880606844719
82,164.0,28.67529957949695,23.379336241547374
83,166.0,28.64667275064317,23.31007062963779
84,168.0,28.61782625269179,23.241007113297993
85,170.0,28.588762365451824,23.172143595103698
86,172.0,28.559483345071566,23.103477999398468
87,174.0,28.529991424284145,23.035008272067827
88,176.0,28.500288812650545,22.966732380315673
89,178.0,28.470377696800085,22.89864831244303
90,180.0,28.440260240668422,22.83075407762909
91,182.0,28.409938585733073,22.763047705714545
92,184.0,28.379414851246484,22.69552724698714
93,186.0,28.3486911344667,22.628190771969475
94,188.0,28.317769510885636,22.56103637120899
95,190.0,28.28665203445495,22.494062155070154
96,192.0,28.25534073780963,22.427266253528785
97,194.0,28.223837632489193,22.360646815968522
98,196.0,28.192144709156647,22.294202010979397
99,198.0,28.16026393781515,22.22793002615851
100,200.0,28.12819726802241,22.161829067912766
101,202.0,28.0959466291029,22.095897361263653
102,204.0,28.063513930357825,22.030133149654056
103,206.0,28.03090106127294,21.96453469475708
104,208.0,27.9981098917242,21.89910027628685
105,210.0,27.9651422721813,21.833828191811254
106,212.0,27.932000033909027,21.768716756566675
107,214.0,27.898684989166632,21.70376430327461
108,216.0,27.865198931405054,21.638969181960196
109,218.0,27.831543635462108,21.57432975977264
110,220.0,27.797720857755678,21.509844420807486
111,222.0,27.763732336474877,21.445511565930758
112,224.0,27.729579791769233,21.381329612604887
